Cód.;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
35021;126;7;-;...;-;-;-;1731;18;-;-;37;-;-;34;...;-;4566;4566;-;...;217885;...;-;-;-;-;-;-;5;-;-;-;-;106;-;-;150;-;-;-;2756;256;-;-;-;-;-;248;-;-;-;73;-;5656;-;13;-;-;-;-;-;12162;999;480;-;-;-;-;-;-
35022;278;32;-;...;-;5300;-;-;-;-;-;927;-;4270;-;...;-;3324;3324;-;...;54027;...;42;-;-;-;170;-;-;-;-;-;-;19310;-;-;-;67;-;-;27630;781;-;28;-;-;-;358;-;11;-;200;-;50650;-;10;-;190;-;-;-;73430;7200;49;-;24000;1550;-;-;5
35023;66;-;-;...;-;-;-;-;38;-;-;23;3;163;59;...;-;2281;2281;-;...;80197;...;8;-;-;-;-;-;-;-;-;-;-;1552;-;-;-;-;-;-;12286;406;-;6;-;-;-;1677;-;6;-;-;-;8547;-;-;8;-;-;-;-;4296;143;288;34;980;-;-;-;3
35024;183;35;-;...;-;-;-;11970;-;-;-;282;189;-;408;...;-;349;349;-;...;284245;...;-;-;-;-;-;-;16;-;-;-;-;210;6;-;550;1094;-;-;28650;1840;-;-;-;16;-;1219;864;3;-;1850;-;8110;-;36;-;-;-;-;-;16383;1220;264;18;-;-;-;-;1
35025;70;2;-;...;-;-;-;450;-;-;-;15;-;280;-;...;-;1624;1624;-;...;115600;...;-;-;-;-;-;-;4;-;-;-;-;2;-;-;-;78;-;-;10277;-;-;-;-;-;-;205;-;46;-;-;-;3965;-;4;-;4;-;-;-;3770;-;-;9;-;-;-;-;-
35026;55;2;-;...;-;-;1;1072;-;-;-;118;-;2;-;...;-;2015;2015;-;...;70500;...;-;-;-;-;-;-;-;-;-;-;-;168;-;-;105;9;-;-;7745;421;-;-;-;-;-;329;3;8;-;1;-;4433;-;2;-;1;-;-;-;2914;256;167;22;-;-;-;-;-
35027;592;-;-;...;-;35;-;48;-;-;-;186;-;-;-;...;-;618;618;-;...;103650;...;-;-;-;-;-;-;-;-;-;-;-;40;-;-;50;12;-;-;11482;93;-;-;-;-;-;1616;102;13;-;-;-;6760;-;7;-;-;-;-;-;10420;325;152;40;-;-;-;-;-
35028;18;-;-;...;-;-;-;2;1;-;-;123;68;-;-;...;-;57;57;-;...;144130;...;-;-;-;-;-;-;3;-;-;-;-;230;-;3;-;-;-;-;6287;12;-;-;-;-;-;1091;-;12;-;34;-;5845;-;-;-;-;-;-;-;1919;70;190;12;20;-;-;11;12
35029;398;-;-;...;-;541;-;39;-;-;-;130;-;358;65;...;-;853;853;-;...;57571;...;-;-;-;-;-;-;-;-;-;-;-;487;-;-;-;-;-;-;11919;122;-;-;-;9;-;494;231;-;-;-;-;12890;-;24;-;-;-;-;-;11650;426;230;62;537;-;-;-;-
35030;380;-;-;...;-;-;-;100;-;-;144;214;102;5435;478;...;-;43185;43185;-;...;80720;...;3;-;1782;-;-;-;-;-;-;-;-;5120;-;-;-;-;-;-;24835;342;-;-;-;-;-;720;154;52;-;-;-;30530;-;-;-;4;-;-;-;17690;900;583;143;150;-;-;-;54
35031;962;-;-;...;-;170;-;-;3;-;-;164;35;404;-;...;-;1403;1403;-;...;31831;...;-;-;-;-;-;-;-;-;-;-;-;454;-;-;-;62;-;-;22269;2640;-;-;-;-;-;4967;312;58;-;-;-;9880;-;40;5;5;-;-;-;9650;-;455;585;1000;-;-;-;10
35032;166;-;-;...;-;-;-;-;-;-;-;178;31;370;-;...;-;709;709;-;...;40390;...;85;-;-;-;-;-;-;-;-;-;-;712;385;-;295;699;-;-;1046;123;-;-;-;-;-;468;38;15;-;-;-;6527;3;-;-;95;-;-;-;3840;20;18;504;210;10;-;-;1081
35033;170;-;-;...;-;-;-;-;4;14;-;141;11;460;-;...;-;7188;7188;-;...;2118;...;12;-;-;-;-;-;-;-;-;-;-;400;-;-;-;2;-;-;1320;38;-;-;-;-;-;41;90;4;-;-;-;5840;3;17;-;2;-;-;-;1858;3;220;94;-;-;-;-;24
35034;6;1;-;...;-;72;-;4416;-;-;-;90;32;-;1147;...;-;506;506;-;...;98150;...;-;-;-;-;-;-;110;-;-;-;-;2;-;-;-;10;-;-;4;17;-;-;-;57;30;149;258;34;-;74;-;759;-;-;-;-;-;-;-;880;-;16;10;-;-;-;3565;161
35035;-;60;-;...;-;160;-;3815;-;-;-;362;410;-;762;...;-;4298;4273;25;...;77639;...;1;-;-;-;-;-;28;-;-;-;-;400;-;-;-;17;-;-;11;2;-;-;-;127;-;1408;41;275;-;142;5;4032;-;2;-;-;-;-;-;4710;-;5;92;-;-;-;416;10
35036;3;27;-;...;-;1410;-;18743;-;-;-;161;4521;-;2703;...;-;449;449;-;...;314283;...;15;-;-;-;-;-;254;-;-;-;-;322;-;-;-;59;-;-;26;38;-;-;-;43;-;15781;89;17;-;546;-;51817;-;-;1;-;-;-;-;60101;150;14;195;-;-;-;167;13
35037;144;-;-;...;-;-;-;16806;-;-;-;74;723;-;1847;...;-;723;723;-;...;46710;...;-;-;-;-;-;-;10;-;-;-;-;50;-;-;-;-;-;-;50;-;-;-;-;12;-;4832;-;32;-;190;-;2730;-;-;-;-;-;-;-;1700;-;6;12;-;-;-;-;-
35038;103;-;-;...;-;-;-;12484;-;300;-;18;11;-;1848;...;-;24039;24039;-;...;25383;...;6;-;-;-;-;-;11;-;-;-;-;101;-;-;-;-;-;-;3396;98;-;-;-;-;-;8229;125;250;-;605;-;9720;-;60;-;-;-;-;-;7900;-;16;54;-;-;-;-;-
35039;-;-;-;...;-;-;-;8775;352;1899;-;333;315;-;124;...;-;396;396;-;...;226587;...;-;-;-;-;-;-;121;-;-;-;-;718;-;-;-;-;-;-;674;17;-;-;-;5;-;7137;24;2;-;215;-;156716;-;-;-;-;-;-;-;180943;2070;-;14;900;-;-;2;5
35040;535;-;-;...;-;-;-;466;-;2623;-;69;-;200;-;...;-;16961;16961;-;...;101185;...;-;-;-;-;-;-;2;-;-;-;-;7137;-;-;-;-;-;-;16221;140;-;-;-;-;-;2907;105;13;-;1250;-;69679;-;110;-;-;-;-;-;107773;5690;157;44;3357;-;-;40;-
35041;63;3;-;...;-;1650;2;2;310;3550;-;259;219;3789;-;...;-;1520;1520;-;...;2982;...;142;-;153;-;2266;-;-;-;-;-;-;26818;4;-;-;5;-;-;7474;64;-;35;-;2;-;146;15;64;-;379;-;102521;-;-;3;22;-;-;-;224600;10025;357;2108;86855;2200;-;-;18
35042;-;-;-;...;-;216;-;-;6;-;-;229;-;1350;-;...;-;37;37;-;...;7950;...;25;-;-;-;-;-;-;-;-;-;-;2443;1;-;-;7;-;-;11681;305;-;-;-;-;-;582;-;43;-;735;-;27750;-;-;2;5;-;-;-;37550;4600;290;44;5850;100;-;-;101
35043;1;-;-;...;-;-;-;-;-;-;-;50;2;150;-;...;-;28;28;-;...;40709;...;-;-;-;-;-;-;1;-;-;-;-;747;-;-;-;-;-;-;1682;-;-;-;-;-;-;157;2;54;-;10;-;13445;-;-;-;-;-;-;-;8510;80;10;15;100;-;-;-;6
35044;13;8;-;...;-;-;2;1;71;-;-;274;138;263;-;...;-;8;8;-;...;127;...;266;-;203;-;-;-;-;-;-;-;-;5709;3;-;-;13;-;-;1536;19;-;68;-;-;-;222;-;81;-;39;-;31365;-;324;8;635;-;-;-;26780;51;60;2163;10580;-;-;-;77
35045;38;-;-;...;-;-;6;-;2;-;-;244;243;1342;-;...;-;3;3;-;...;-;...;980;-;850;-;-;120;-;-;-;20;-;2510;-;-;-;9;-;-;520;24;-;23;-;-;-;185;-;140;-;60;-;20000;-;280;23;111;-;-;-;16950;-;808;294;5850;-;-;-;2025
35046;6;-;-;...;-;-;2;-;-;-;6;111;9;-;-;...;-;111;111;-;...;19487;...;63;-;35;-;-;-;-;-;-;-;-;1105;-;-;-;83;-;-;3389;130;-;-;-;-;-;1361;6;45;-;410;-;9740;-;-;-;47;-;-;-;6590;95;362;58;1588;-;-;-;699
